residence,strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Rural,Female,bmi,21.8,21.7,22,Continuous,NA,"21.8 (21.7, 22)",20891,sex
Rural,Female,age,60.1,59.9,60.3,Continuous,NA,"60.1 (59.9, 60.3)",21580,sex
Rural,Male,bmi,21.1,20.9,21.2,Continuous,NA,"21.1 (20.9, 21.2)",18426,sex
Rural,Male,age,61,60.7,61.3,Continuous,NA,"61 (60.7, 61.3)",18998,sex
Urban,Female,bmi,25.6,25.2,26,Continuous,NA,"25.6 (25.2, 26)",11207,sex
Urban,Female,age,59.6,59,60.1,Continuous,NA,"59.6 (59, 60.1)",11860,sex
Urban,Male,bmi,23.7,23.4,24,Continuous,NA,"23.7 (23.4, 24)",9348,sex
Urban,Male,age,60,59.5,60.5,Continuous,NA,"60 (59.5, 60.5)",9878,sex
Rural,Female,highwc,52.1,50.6,53.6,Proportion,NA,"52.1 (50.6, 53.6)",20885,sex
Rural,Female,htn,46.5,45.4,47.6,Proportion,NA,"46.5 (45.4, 47.6)",21580,sex
Rural,Female,highbp,30.2,29.2,31.2,Proportion,NA,"30.2 (29.2, 31.2)",21094,sex
Rural,Female,diaghtn,39.5,37.5,41.4,Proportion,NA,"39.5 (37.5, 41.4)",5878,sex
Rural,Female,htn_disease,45.1,44,46.2,Proportion,NA,"45.1 (44, 46.2)",21580,sex
Rural,Female,htn_diagnosed,26.2,25.1,27.4,Proportion,NA,"26.2 (25.1, 27.4)",21580,sex
Rural,Female,htn_treated,17,16.1,17.9,Proportion,NA,"17 (16.1, 17.9)",21580,sex
Rural,Female,htn_controlled,15.5,14.6,16.3,Proportion,NA,"15.5 (14.6, 16.3)",21580,sex
Rural,Male,highwc,18.6,17.6,19.6,Proportion,NA,"18.6 (17.6, 19.6)",18423,sex
Rural,Male,htn,40.9,39.7,42.2,Proportion,NA,"40.9 (39.7, 42.2)",18998,sex
Rural,Male,highbp,29.1,27.9,30.3,Proportion,NA,"29.1 (27.9, 30.3)",18609,sex
Rural,Male,diaghtn,42.1,39.6,44.6,Proportion,NA,"42.1 (39.6, 44.6)",3872,sex
Rural,Male,htn_disease,39.5,38.2,40.9,Proportion,NA,"39.5 (38.2, 40.9)",18998,sex
Rural,Male,htn_diagnosed,19.1,18.1,20.2,Proportion,NA,"19.1 (18.1, 20.2)",18998,sex
Rural,Male,htn_treated,11.9,11.1,12.7,Proportion,NA,"11.9 (11.1, 12.7)",18998,sex
Rural,Male,htn_controlled,10.7,10,11.5,Proportion,NA,"10.7 (10, 11.5)",18998,sex
Urban,Female,highwc,78.2,76.4,80.1,Proportion,NA,"78.2 (76.4, 80.1)",11203,sex
Urban,Female,htn,60.9,58.4,63.4,Proportion,NA,"60.9 (58.4, 63.4)",11860,sex
Urban,Female,highbp,33.8,31.2,36.4,Proportion,NA,"33.8 (31.2, 36.4)",11329,sex
Urban,Female,diaghtn,39.4,36.7,42.1,Proportion,NA,"39.4 (36.7, 42.1)",4642,sex
Urban,Female,htn_disease,55.2,52.5,57.9,Proportion,NA,"55.2 (52.5, 57.9)",11860,sex
Urban,Female,htn_diagnosed,39.4,37.4,41.5,Proportion,NA,"39.4 (37.4, 41.5)",11860,sex
Urban,Female,htn_treated,31.8,29.2,34.4,Proportion,NA,"31.8 (29.2, 34.4)",11860,sex
Urban,Female,htn_controlled,23.4,21.8,25,Proportion,NA,"23.4 (21.8, 25)",11860,sex
Urban,Male,highwc,39.4,36.5,42.2,Proportion,NA,"39.4 (36.5, 42.2)",9342,sex
Urban,Male,htn,57.9,55.3,60.5,Proportion,NA,"57.9 (55.3, 60.5)",9878,sex
Urban,Male,highbp,37.9,35.7,40.2,Proportion,NA,"37.9 (35.7, 40.2)",9451,sex
Urban,Male,diaghtn,43.8,39,48.5,Proportion,NA,"43.8 (39, 48.5)",3050,sex
Urban,Male,htn_disease,52.7,50.2,55.3,Proportion,NA,"52.7 (50.2, 55.3)",9878,sex
Urban,Male,htn_diagnosed,31.1,28.8,33.3,Proportion,NA,"31.1 (28.8, 33.3)",9878,sex
Urban,Male,htn_treated,24.2,22.2,26.1,Proportion,NA,"24.2 (22.2, 26.1)",9878,sex
Urban,Male,htn_controlled,17.1,15.4,18.7,Proportion,NA,"17.1 (15.4, 18.7)",9878,sex
Rural,Female,age_category,66.1,65.1,67.2,Grouped,2,"66.1 (65.1, 67.2)",21580,sex
Rural,Female,age_category,33.9,32.8,34.9,Grouped,3,"33.9 (32.8, 34.9)",21580,sex
Rural,Male,age_category,62.1,61,63.2,Grouped,2,"62.1 (61, 63.2)",18998,sex
Rural,Male,age_category,37.9,36.8,39,Grouped,3,"37.9 (36.8, 39)",18998,sex
Urban,Female,age_category,66,63.5,68.5,Grouped,2,"66 (63.5, 68.5)",11860,sex
Urban,Female,age_category,34,31.5,36.5,Grouped,3,"34 (31.5, 36.5)",11860,sex
Urban,Male,age_category,66.4,63.4,69.5,Grouped,2,"66.4 (63.4, 69.5)",9878,sex
Urban,Male,age_category,33.6,30.5,36.6,Grouped,3,"33.6 (30.5, 36.6)",9878,sex
Rural,Female,age_category10,18.9,18.2,19.7,Grouped,"[40,50)","18.9 (18.2, 19.7)",21575,sex
Rural,Female,age_category10,31.3,30.4,32.2,Grouped,"[50,60)","31.3 (30.4, 32.2)",21575,sex
Rural,Female,age_category10,29.6,28.6,30.6,Grouped,"[60,70)","29.6 (28.6, 30.6)",21575,sex
Rural,Female,age_category10,14.7,13.8,15.6,Grouped,"[70,80)","14.7 (13.8, 15.6)",21575,sex
Rural,Female,age_category10,5.4,4.9,5.9,Grouped,"[80,100]","5.4 (4.9, 5.9)",21575,sex
Rural,Female,age_category10,0,-0,0,Grouped,NA,"0 (0, 0)",21575,sex
Rural,Male,age_category10,17.3,16.5,18.1,Grouped,"[40,50)","17.3 (16.5, 18.1)",18991,sex
Rural,Male,age_category10,28.8,27.7,29.9,Grouped,"[50,60)","28.8 (27.7, 29.9)",18991,sex
Rural,Male,age_category10,31.5,30.6,32.5,Grouped,"[60,70)","31.5 (30.6, 32.5)",18991,sex
Rural,Male,age_category10,16.4,15.5,17.3,Grouped,"[70,80)","16.4 (15.5, 17.3)",18991,sex
Rural,Male,age_category10,6,5.3,6.6,Grouped,"[80,100]","6 (5.3, 6.6)",18991,sex
Rural,Male,age_category10,0,-0,0.1,Grouped,NA,"0 (0, 0.1)",18991,sex
Urban,Female,age_category10,21.7,19.2,24.3,Grouped,"[40,50)","21.7 (19.2, 24.3)",11854,sex
Urban,Female,age_category10,30.9,29.4,32.4,Grouped,"[50,60)","30.9 (29.4, 32.4)",11854,sex
Urban,Female,age_category10,28.6,26.9,30.4,Grouped,"[60,70)","28.6 (26.9, 30.4)",11854,sex
Urban,Female,age_category10,14,12.5,15.5,Grouped,"[70,80)","14 (12.5, 15.5)",11854,sex
Urban,Female,age_category10,4.6,3.9,5.3,Grouped,"[80,100]","4.6 (3.9, 5.3)",11854,sex
Urban,Female,age_category10,0.1,-0,0.2,Grouped,NA,"0.1 (0, 0.2)",11854,sex
Urban,Male,age_category10,17.5,15.4,19.7,Grouped,"[40,50)","17.5 (15.4, 19.7)",9876,sex
Urban,Male,age_category10,35,29.9,40.2,Grouped,"[50,60)","35 (29.9, 40.2)",9876,sex
Urban,Male,age_category10,27.5,25,30.1,Grouped,"[60,70)","27.5 (25, 30.1)",9876,sex
Urban,Male,age_category10,15.1,12.8,17.4,Grouped,"[70,80)","15.1 (12.8, 17.4)",9876,sex
Urban,Male,age_category10,4.8,3.9,5.7,Grouped,"[80,100]","4.8 (3.9, 5.7)",9876,sex
Urban,Male,age_category10,0,-0,0,Grouped,NA,"0 (0, 0)",9876,sex
Rural,Female,education,1.2,1,1.4,Grouped,Higher,"1.2 (1, 1.4)",21580,sex
Rural,Female,education,85.4,84.3,86.4,Grouped,No education,"85.4 (84.3, 86.4)",21580,sex
Rural,Female,education,11.5,10.6,12.4,Grouped,Primary,"11.5 (10.6, 12.4)",21580,sex
Rural,Female,education,2,1.7,2.3,Grouped,Secondary,"2 (1.7, 2.3)",21580,sex
Rural,Male,education,8.9,8.1,9.6,Grouped,Higher,"8.9 (8.1, 9.6)",18998,sex
Rural,Male,education,55.6,54.1,57,Grouped,No education,"55.6 (54.1, 57)",18998,sex
Rural,Male,education,26.9,25.7,28.1,Grouped,Primary,"26.9 (25.7, 28.1)",18998,sex
Rural,Male,education,8.7,8,9.3,Grouped,Secondary,"8.7 (8, 9.3)",18998,sex
Urban,Female,education,15.5,10.9,20,Grouped,Higher,"15.5 (10.9, 20)",11860,sex
Urban,Female,education,48.9,42.3,55.5,Grouped,No education,"48.9 (42.3, 55.5)",11860,sex
Urban,Female,education,24.8,23,26.6,Grouped,Primary,"24.8 (23, 26.6)",11860,sex
Urban,Female,education,10.8,8.7,12.9,Grouped,Secondary,"10.8 (8.7, 12.9)",11860,sex
Urban,Male,education,29.7,22.6,36.7,Grouped,Higher,"29.7 (22.6, 36.7)",9878,sex
Urban,Male,education,27.8,23.4,32.1,Grouped,No education,"27.8 (23.4, 32.1)",9878,sex
Urban,Male,education,25.3,22.3,28.3,Grouped,Primary,"25.3 (22.3, 28.3)",9878,sex
Urban,Male,education,17.3,15,19.5,Grouped,Secondary,"17.3 (15, 19.5)",9878,sex
Rural,Female,caste,23,21.3,24.7,Grouped,General,"23 (21.3, 24.7)",21580,sex
Rural,Female,caste,43.6,41.4,45.8,Grouped,OBC,"43.6 (41.4, 45.8)",21580,sex
Rural,Female,caste,22.5,20.8,24.2,Grouped,Scheduled Caste,"22.5 (20.8, 24.2)",21580,sex
Rural,Female,caste,10.9,9.5,12.3,Grouped,Scheduled Tribe,"10.9 (9.5, 12.3)",21580,sex
Rural,Male,caste,22.8,21.1,24.6,Grouped,General,"22.8 (21.1, 24.6)",18998,sex
Rural,Male,caste,44.5,42.2,46.7,Grouped,OBC,"44.5 (42.2, 46.7)",18998,sex
Rural,Male,caste,22.1,20.3,23.8,Grouped,Scheduled Caste,"22.1 (20.3, 23.8)",18998,sex
Rural,Male,caste,10.6,9.3,11.9,Grouped,Scheduled Tribe,"10.6 (9.3, 11.9)",18998,sex
Urban,Female,caste,34.1,28.5,39.6,Grouped,General,"34.1 (28.5, 39.6)",11860,sex
Urban,Female,caste,49.4,42.4,56.5,Grouped,OBC,"49.4 (42.4, 56.5)",11860,sex
Urban,Female,caste,13.2,10.6,15.7,Grouped,Scheduled Caste,"13.2 (10.6, 15.7)",11860,sex
Urban,Female,caste,3.4,2.2,4.5,Grouped,Scheduled Tribe,"3.4 (2.2, 4.5)",11860,sex
Urban,Male,caste,35.5,30.6,40.5,Grouped,General,"35.5 (30.6, 40.5)",9878,sex
Urban,Male,caste,49.4,43.1,55.7,Grouped,OBC,"49.4 (43.1, 55.7)",9878,sex
Urban,Male,caste,12,9.7,14.3,Grouped,Scheduled Caste,"12 (9.7, 14.3)",9878,sex
Urban,Male,caste,3,2.2,3.9,Grouped,Scheduled Tribe,"3 (2.2, 3.9)",9878,sex
Rural,Female,religion,83.7,82,85.5,Grouped,Hindu,"83.7 (82, 85.5)",21580,sex
Rural,Female,religion,9.7,8.3,11.2,Grouped,Muslim,"9.7 (8.3, 11.2)",21580,sex
Rural,Female,religion,6.5,5.5,7.6,Grouped,Other,"6.5 (5.5, 7.6)",21580,sex
Rural,Male,religion,84.2,82.4,85.9,Grouped,Hindu,"84.2 (82.4, 85.9)",18998,sex
Rural,Male,religion,9.6,8.1,11.1,Grouped,Muslim,"9.6 (8.1, 11.1)",18998,sex
Rural,Male,religion,6.3,5.3,7.2,Grouped,Other,"6.3 (5.3, 7.2)",18998,sex
Urban,Female,religion,77.8,74.2,81.3,Grouped,Hindu,"77.8 (74.2, 81.3)",11860,sex
Urban,Female,religion,15.1,11.3,18.9,Grouped,Muslim,"15.1 (11.3, 18.9)",11860,sex
Urban,Female,religion,7.1,5.1,9.2,Grouped,Other,"7.1 (5.1, 9.2)",11860,sex
Urban,Male,religion,78.1,73.7,82.6,Grouped,Hindu,"78.1 (73.7, 82.6)",9878,sex
Urban,Male,religion,15.7,11.7,19.8,Grouped,Muslim,"15.7 (11.7, 19.8)",9878,sex
Urban,Male,religion,6.1,4.8,7.4,Grouped,Other,"6.1 (4.8, 7.4)",9878,sex
Rural,Female,bmi_category,24.6,23.6,25.7,Grouped,Underweight,"24.6 (23.6, 25.7)",20891,sex
Rural,Female,bmi_category,50.5,49.5,51.4,Grouped,Normal,"50.5 (49.5, 51.4)",20891,sex
Rural,Female,bmi_category,16.8,15.9,17.6,Grouped,Overweight,"16.8 (15.9, 17.6)",20891,sex
Rural,Female,bmi_category,5.1,4.7,5.6,Grouped,Obese,"5.1 (4.7, 5.6)",20891,sex
Rural,Female,bmi_category,3,2.6,3.4,Grouped,NA,"3 (2.6, 3.4)",20891,sex
Rural,Male,bmi_category,26.7,25.5,27.9,Grouped,Underweight,"26.7 (25.5, 27.9)",18426,sex
Rural,Male,bmi_category,55.4,54.3,56.6,Grouped,Normal,"55.4 (54.3, 56.6)",18426,sex
Rural,Male,bmi_category,12.9,12.1,13.6,Grouped,Overweight,"12.9 (12.1, 13.6)",18426,sex
Rural,Male,bmi_category,2.1,1.8,2.5,Grouped,Obese,"2.1 (1.8, 2.5)",18426,sex
Rural,Male,bmi_category,2.9,2.4,3.4,Grouped,NA,"2.9 (2.4, 3.4)",18426,sex
Urban,Female,bmi_category,8.6,6.9,10.3,Grouped,Underweight,"8.6 (6.9, 10.3)",11207,sex
Urban,Female,bmi_category,35.4,30.7,40.2,Grouped,Normal,"35.4 (30.7, 40.2)",11207,sex
Urban,Female,bmi_category,30.9,27.9,33.9,Grouped,Overweight,"30.9 (27.9, 33.9)",11207,sex
Urban,Female,bmi_category,17.9,15.5,20.2,Grouped,Obese,"17.9 (15.5, 20.2)",11207,sex
Urban,Female,bmi_category,7.2,4.9,9.5,Grouped,NA,"7.2 (4.9, 9.5)",11207,sex
Urban,Male,bmi_category,9.6,8.2,11.1,Grouped,Underweight,"9.6 (8.2, 11.1)",9348,sex
Urban,Male,bmi_category,49.6,46.2,53,Grouped,Normal,"49.6 (46.2, 53)",9348,sex
Urban,Male,bmi_category,27.4,23.5,31.4,Grouped,Overweight,"27.4 (23.5, 31.4)",9348,sex
Urban,Male,bmi_category,6.1,5,7.1,Grouped,Obese,"6.1 (5, 7.1)",9348,sex
Urban,Male,bmi_category,7.3,4.1,10.4,Grouped,NA,"7.3 (4.1, 10.4)",9348,sex
