"","var_name","var_desc","var_type","class","var_labels","var_levels"
"1","hhid","Household ID",1,"character",NA,NA
"2","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","1 Jammu and Kashmir",1
"3","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","2 Himachal Pradesh",2
"4","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","3 Punjab",3
"5","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","4 Chandigarh",4
"6","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","5 Uttarakhand",5
"7","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","6 Haryana",6
"8","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","7 Delhi",7
"9","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","8 Rajasthan",8
"10","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","9 Uttar Pradesh",9
"11","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","10 Bihar",10
"12","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","11 Sikkim",11
"13","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","12 Arunachal Pradesh",12
"14","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","13 Nagaland",13
"15","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","14 Manipur",14
"16","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","15 Mizoram",15
"17","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","16 Tripura",16
"18","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","17 Meghalaya",17
"19","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","18 Assam",18
"20","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","19 West Bengal",19
"21","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","20 Jharkhand",20
"22","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","21 Odisha",21
"23","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","22 Chhatisgarh",22
"24","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","23 Madhya Pradesh",23
"25","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","24 Gujarat",24
