"","var_name","var_desc","var_type","class"
"1","hhid","Household ID",1,"character"
"2","stateid","State ID",0,"numeric"
"3","state","State name",1,"character"
"4","metrocity","Metrocities name ",0,"numeric"
"5","ssuid","Ssuid",0,"numeric"
"6","residence","Place of residence",0,"numeric"
"7","cv_stateweight","CV_State weight",0,"numeric"
"8","cv_indiaweight","CV_India weight",0,"numeric"
"9","cv001","Total number of household members",0,"numeric"
"10","cv003_1","Relationship to HH head",0,"numeric"
"11","cv003_2","Relationship to HH head",0,"numeric"
"12","cv003_3","Relationship to HH head",0,"numeric"
"13","cv003_4","Relationship to HH head",0,"numeric"
"14","cv003_5","Relationship to HH head",0,"numeric"
"15","cv003_6","Relationship to HH head",0,"numeric"
"16","cv003_7","Relationship to HH head",0,"numeric"
"17","cv003_8","Relationship to HH head",0,"numeric"
"18","cv003_9","Relationship to HH head",0,"numeric"
"19","cv003_10","Relationship to HH head",0,"numeric"
"20","cv003_11","Relationship to HH head",0,"numeric"
"21","cv003_12","Relationship to HH head",0,"numeric"
"22","cv003_13","Relationship to HH head",0,"numeric"
"23","cv003_14","Relationship to HH head",0,"numeric"
"24","cv003_15","Relationship to HH head",0,"numeric"
"25","cv003_16","Relationship to HH head",0,"numeric"
"26","cv003_17","Relationship to HH head",0,"numeric"
"27","cv003_18","Relationship to HH head",0,"numeric"
"28","cv003_19","Relationship to HH head",0,"numeric"
"29","cv003_20","Relationship to HH head",0,"numeric"
"30","cv003_21","Relationship to HH head",0,"numeric"
"31","cv003_22","Relationship to HH head",0,"numeric"
"32","cv003_23","Relationship to HH head",0,"numeric"
"33","cv003_24","Relationship to HH head",0,"numeric"
"34","cv003_25","Relationship to HH head",0,"numeric"
"35","cv003_26","Relationship to HH head",0,"numeric"
"36","cv003_27","Relationship to HH head",0,"numeric"
"37","cv003_28","Relationship to HH head",0,"numeric"
"38","cv003_29","Relationship to HH head",0,"numeric"
"39","cv003_30","Relationship to HH head",0,"numeric"
"40","cv003_31","Relationship to HH head",0,"numeric"
"41","cv003_32","Relationship to HH head",0,"numeric"
"42","cv003_33","Relationship to HH head",0,"numeric"
"43","cv003_34","Relationship to HH head",0,"numeric"
"44","cv003_35","Relationship to HH head",0,"numeric"
"45","cv005_1","Sex of 1st  household member",0,"numeric"
"46","cv005_2","Sex of 2nd  household member",0,"numeric"
"47","cv005_3","Sex of 3rd  household member",0,"numeric"
"48","cv005_4","Sex of 4th  household member",0,"numeric"
"49","cv005_5","Sex of 5th  household member",0,"numeric"
"50","cv005_6","Sex of 6th  household member",0,"numeric"
"51","cv005_7","Sex of 7th  household member",0,"numeric"
"52","cv005_8","Sex of 8th  household member",0,"numeric"
"53","cv005_9","Sex of 9th  household member",0,"numeric"
"54","cv005_10","Sex of 10th  household member ",0,"numeric"
"55","cv005_11","Sex of 11th  household member ",0,"numeric"
"56","cv005_12","Sex of 12th  household member ",0,"numeric"
"57","cv005_13","Sex of 13th  household member ",0,"numeric"
"58","cv005_14","Sex of 14th  household member ",0,"numeric"
"59","cv005_15","Sex of 15th  household member ",0,"numeric"
"60","cv005_16","Sex of 16th  household member ",0,"numeric"
"61","cv005_17","Sex of 17th  household member ",0,"numeric"
"62","cv005_18","Sex of 18th  household member ",0,"numeric"
"63","cv005_19","Sex of 19th  household member ",0,"numeric"
"64","cv005_20","Sex of 20th  household member ",0,"numeric"
"65","cv005_21","Sex of 21st  household member ",0,"numeric"
"66","cv005_22","Sex of 22nd  household member ",0,"numeric"
"67","cv005_23","Sex of 23rd  household member ",0,"numeric"
"68","cv005_24","Sex of 24th  household member ",0,"numeric"
"69","cv005_25","Sex of 25th  household member ",0,"numeric"
"70","cv005_26","Sex of 26th  household member ",0,"numeric"
"71","cv005_27","Sex of 27th  household member ",0,"numeric"
"72","cv005_28","Sex of 28th  household member ",0,"numeric"
"73","cv005_29","Sex of 29th  household member ",0,"numeric"
"74","cv005_30","Sex of 30th  household member ",0,"numeric"
"75","cv005_31","Sex of 31st  household member ",0,"numeric"
"76","cv005_32","Sex of 32nd  household member ",0,"numeric"
"77","cv005_33","Sex of 33rd  household member ",0,"numeric"
"78","cv005_34","Sex of 34th  household member ",0,"numeric"
"79","cv005_35","Sex of 35th  household member ",0,"numeric"
"80","cv006_1","Age of 1st  household member",0,"numeric"
"81","cv006_2","Age of 2nd  household member",0,"numeric"
"82","cv006_3","Age of 3rd  household member",0,"numeric"
"83","cv006_4","Age of 4th  household member",0,"numeric"
"84","cv006_5","Age of 5th  household member",0,"numeric"
"85","cv006_6","Age of 6th  household member",0,"numeric"
"86","cv006_7","Age of 7th  household member",0,"numeric"
"87","cv006_8","Age of 8th  household member",0,"numeric"
"88","cv006_9","Age of 9th  household member",0,"numeric"
"89","cv006_10","Age of 10th  household member ",0,"numeric"
"90","cv006_11","Age of 11th  household member ",0,"numeric"
"91","cv006_12","Age of 12th  household member ",0,"numeric"
"92","cv006_13","Age of 13th  household member ",0,"numeric"
"93","cv006_14","Age of 14th  household member ",0,"numeric"
"94","cv006_15","Age of 15th  household member ",0,"numeric"
"95","cv006_16","Age of 16th  household member ",0,"numeric"
"96","cv006_17","Age of 17th  household member ",0,"numeric"
"97","cv006_18","Age of 18th  household member ",0,"numeric"
"98","cv006_19","Age of 19th  household member ",0,"numeric"
"99","cv006_20","Age of 20th  household member ",0,"numeric"
"100","cv006_21","Age of 21st  household member ",0,"numeric"
"101","cv006_22","Age of 22nd  household member ",0,"numeric"
"102","cv006_23","Age of 23rd  household member ",0,"numeric"
"103","cv006_24","Age of 24th  household member ",0,"numeric"
"104","cv006_25","Age of 25th  household member ",0,"numeric"
"105","cv006_26","Age of 26th  household member ",0,"numeric"
"106","cv006_27","Age of 27th  household member ",0,"numeric"
"107","cv006_28","Age of 28th  household member ",0,"numeric"
"108","cv006_29","Age of 29th  household member ",0,"numeric"
"109","cv006_30","Age of 30th  household member ",0,"numeric"
"110","cv006_31","Age of 31st  household member ",0,"numeric"
"111","cv006_32","Age of 32nd  household member ",0,"numeric"
"112","cv006_33","Age of 33rd  household member ",0,"numeric"
"113","cv006_34","Age of 34th  household member ",0,"numeric"
"114","cv006_35","Age of 35th  household member ",0,"numeric"
"115","cv007_1","Whether read or write - 1st  household member",0,"numeric"
"116","cv007_2","Whether read or write - 2nd  household member",0,"numeric"
"117","cv007_3","Whether read or write - 3rd  household member",0,"numeric"
"118","cv007_4","Whether read or write - 4th  household member",0,"numeric"
"119","cv007_5","Whether read or write - 5th  household member",0,"numeric"
"120","cv007_6","Whether read or write - 6th  household member",0,"numeric"
"121","cv007_7","Whether read or write - 7th  household member",0,"numeric"
"122","cv007_8","Whether read or write - 8th  household member",0,"numeric"
"123","cv007_9","Whether read or write - 9th  household member",0,"numeric"
"124","cv007_10","Whether read or write - 10th  household member ",0,"numeric"
"125","cv007_11","Whether read or write - 11th  household member ",0,"numeric"
"126","cv007_12","Whether read or write - 12th  household member ",0,"numeric"
"127","cv007_13","Whether read or write - 13th  household member ",0,"numeric"
"128","cv007_14","Whether read or write - 14th  household member ",0,"numeric"
"129","cv007_15","Whether read or write - 15th  household member ",0,"numeric"
"130","cv007_16","Whether read or write - 16th  household member ",0,"numeric"
"131","cv007_17","Whether read or write - 17th  household member ",0,"numeric"
"132","cv007_18","Whether read or write - 18th  household member ",0,"numeric"
"133","cv007_19","Whether read or write - 19th  household member ",0,"numeric"
"134","cv007_20","Whether read or write - 20th  household member ",0,"numeric"
"135","cv007_21","Whether read or write - 21st  household member ",0,"numeric"
"136","cv007_22","Whether read or write - 22nd  household member ",0,"numeric"
"137","cv007_23","Whether read or write - 23rd  household member ",0,"numeric"
"138","cv007_24","Whether read or write - 24th  household member ",0,"numeric"
"139","cv007_25","Whether read or write - 25th  household member ",0,"numeric"
"140","cv007_26","Whether read or write - 26th  household member ",0,"numeric"
"141","cv007_27","Whether read or write - 27th  household member ",0,"numeric"
"142","cv007_28","Whether read or write - 28th  household member ",0,"numeric"
"143","cv007_29","Whether read or write - 29th  household member ",0,"numeric"
"144","cv007_30","Whether read or write - 30th  household member ",0,"numeric"
"145","cv007_31","Whether read or write - 31st  household member ",0,"numeric"
"146","cv007_32","Whether read or write - 32nd  household member ",0,"numeric"
"147","cv007_33","Whether read or write - 33rd  household member ",0,"numeric"
"148","cv007_34","Whether read or write - 34th  household member ",0,"numeric"
"149","cv007_35","Whether read or write - 35th  household member ",0,"numeric"
"150","cv008_1","Whether attended school or not - 1st  household member",0,"numeric"
"151","cv008_2","Whether attended school or not - 2nd  household member",0,"numeric"
"152","cv008_3","Whether attended school or not - 3rd  household member",0,"numeric"
"153","cv008_4","Whether attended school or not - 4th  household member",0,"numeric"
"154","cv008_5","Whether attended school or not - 5th  household member",0,"numeric"
"155","cv008_6","Whether attended school or not - 6th  household member",0,"numeric"
"156","cv008_7","Whether attended school or not - 7th  household member",0,"numeric"
"157","cv008_8","Whether attended school or not - 8th  household member",0,"numeric"
"158","cv008_9","Whether attended school or not - 9th  household member",0,"numeric"
"159","cv008_10","Whether attended school or not - 10th  household member ",0,"numeric"
"160","cv008_11","Whether attended school or not - 11th  household member ",0,"numeric"
"161","cv008_12","Whether attended school or not - 12th  household member ",0,"numeric"
"162","cv008_13","Whether attended school or not - 13th  household member ",0,"numeric"
"163","cv008_14","Whether attended school or not - 14th  household member ",0,"numeric"
"164","cv008_15","Whether attended school or not - 15th  household member ",0,"numeric"
"165","cv008_16","Whether attended school or not - 16th  household member ",0,"numeric"
"166","cv008_17","Whether attended school or not - 17th  household member ",0,"numeric"
"167","cv008_18","Whether attended school or not - 18th  household member ",0,"numeric"
"168","cv008_19","Whether attended school or not - 19th  household member ",0,"numeric"
"169","cv008_20","Whether attended school or not - 20th  household member ",0,"numeric"
"170","cv008_21","Whether attended school or not - 21st  household member ",0,"numeric"
"171","cv008_22","Whether attended school or not - 22nd  household member ",0,"numeric"
"172","cv008_23","Whether attended school or not - 23rd  household member ",0,"numeric"
"173","cv008_24","Whether attended school or not - 24th  household member ",0,"numeric"
"174","cv008_25","Whether attended school or not - 25th  household member ",0,"numeric"
"175","cv008_26","Whether attended school or not - 26th  household member ",0,"numeric"
"176","cv008_27","Whether attended school or not - 27th  household member ",0,"numeric"
"177","cv008_28","Whether attended school or not - 28th  household member ",0,"numeric"
"178","cv008_29","Whether attended school or not - 29th  household member ",0,"numeric"
"179","cv008_30","Whether attended school or not - 30th  household member ",0,"numeric"
"180","cv008_31","Whether attended school or not - 31st  household member ",0,"numeric"
"181","cv008_32","Whether attended school or not - 32nd  household member ",0,"numeric"
"182","cv008_33","Whether attended school or not - 33rd  household member ",0,"numeric"
